"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"15.06.2022","103.011","102.765","103.990","102.395","34,39K","0,87%"
"14.06.2022","102.122","103.120","103.405","101.295","179,50K","-0,57%"
"13.06.2022","102.708","103.500","104.040","101.760","251,57K","-2,76%"
"10.06.2022","105.620","107.865","108.015","104.690","253,13K","-1,67%"
"09.06.2022","107.418","109.200","109.440","107.165","209,05K","-0,99%"
"08.06.2022","108.487","110.165","110.375","108.220","168,47K","-1,58%"
"07.06.2022","110.225","110.350","110.715","109.625","145,50K","-0,27%"
"06.06.2022","110.521","112.600","112.725","110.255","119,12K","-0,87%"
"03.06.2022","111.486","112.290","112.375","111.235","128,29K","-1,08%"
"02.06.2022","112.700","112.205","113.205","111.530","156,47K","0,90%"
"01.06.2022","111.696","112.015","112.440","111.130","136,81K","0,13%"
"31.05.2022","111.553","111.200","112.460","111.145","160,75K","0,01%"
"30.05.2022","111.546","113.300","113.680","111.065","96,83K","-0,84%"
"27.05.2022","112.489","112.350","113.070","111.980","107,42K","-0,04%"
"26.05.2022","112.536","111.530","112.795","110.950","107,40K","1,13%"
"25.05.2022","111.280","111.045","111.740","110.280","118,77K","0,03%"
"24.05.2022","111.252","110.100","111.520","109.135","200,98K","-0,10%"
"23.05.2022","111.365","110.035","111.515","109.835","172,17K","1,87%"
"20.05.2022","109.323","108.715","109.680","108.135","169,96K","1,50%"
"19.05.2022","107.708","106.950","108.265","106.660","146,48K","0,67%"
"18.05.2022","106.987","109.720","109.855","106.785","176,77K","-2,59%"
"17.05.2022","109.836","110.250","110.795","109.230","164,24K","0,52%"
"16.05.2022","109.270","107.640","109.805","107.620","137,41K","1,14%"
"13.05.2022","108.041","108.000","108.810","107.080","148,18K","1,07%"
"12.05.2022","106.893","104.330","107.020","104.255","204,15K","1,38%"
"11.05.2022","105.438","105.335","106.425","104.090","236,06K","1,23%"
"10.05.2022","104.152","104.900","105.275","103.400","175,73K","-0,32%"
"09.05.2022","104.489","104.825","105.645","103.935","208,70K","-1,67%"
"06.05.2022","106.266","106.145","107.520","105.075","209,72K","-0,32%"
"05.05.2022","106.602","108.635","108.855","105.070","249,15K","-2,76%"
"04.05.2022","109.632","108.000","110.010","106.130","226,43K","1,76%"
"03.05.2022","107.736","108.380","108.485","107.315","179,15K","-0,14%"
"02.05.2022","107.884","109.095","109.500","106.490","199,76K","-0,86%"
